item_id,abstract,artifacts,intersection,lowpoly,noisy,open,partial,scale,set,simple,quality
0001be62-bf9c-4c15-8a09-dce209be9715,0,1,0,0,0,0,0,0,0,0,0
000ad3b9-75cf-4b8f-9786-de63f9a8ffa8,0,0,0,0,0,0,0,0,0,1,0
0012e069-5caf-44fd-85e4-9a38f6eefd2e,0,0,0,0,0,0,0,0,0,1,0
0024dc8f-a2d7-4556-94dc-6b4b0f46ca0d,1,0,0,1,0,0,0,0,0,0,0
002b097b-4237-4610-952c-6095d48fb7a0,0,0,0,0,0,0,0,0,0,1,0
00345d58-6d89-4bf9-914f-bb797f0130a5,0,0,0,0,0,0,0,0,1,0,0
003f01c8-d5e8-41f7-afdf-12a1bdaa1f83,0,0,0,0,0,1,0,0,0,0,0
003fb77f-53a7-44bd-ac96-25b2cbc47f43,0,0,0,0,1,0,0,0,0,0,0
005699bd-d0bf-4088-8b5f-6ce2bfe7f6a8,0,0,0,1,0,0,0,0,0,0,0
00619608-5415-4c7c-9deb-d87184ce9055,0,0,0,0,1,0,0,0,0,0,0
006351ae-ddd7-4481-a956-e057f12e1862,0,0,0,0,0,0,0,0,1,0,0
0064bdc6-8e3a-4bc8-81e5-d755a4759d63,0,0,0,0,0,1,0,0,0,1,0
0071e389-0a9c-45b1-96a0-acec9d7d584b,1,0,0,0,0,0,0,0,0,0,0
0074bfd6-ccc1-4610-87db-9bffe8a1c0b4,0,0,0,1,0,0,0,0,0,0,0
00799efb-779a-4180-ae4f-bc40adcb5603,0,0,0,0,0,0,0,0,0,0,1
00811de2-8795-43b1-813d-3f5f458a926b,0,0,0,0,1,0,0,0,0,0,0
0082fb0a-8030-4d6e-93ca-9f94d7b429bf,0,0,0,1,1,0,0,0,0,0,0
008468e2-e677-45fc-ac2f-4cf175ce334a,0,0,0,0,1,0,0,0,1,0,0
00882625-c1d0-4c07-aa26-0a97076360ee,0,0,0,0,0,0,0,0,0,0,1
008f348f-b403-4373-a917-74962ba8b1d1,0,0,0,0,1,0,0,0,0,0,0
00926245-61e2-42fc-906b-74a5b4be400c,0,0,0,0,0,0,0,0,0,1,0
00979a9c-fe46-43c3-804c-391f33e0a203,0,0,0,1,0,0,0,0,0,0,0
0097f843-e0d1-4db6-9665-fc581172faf5,0,0,0,0,1,0,0,0,0,0,0
009d5025-bc57-4f6a-b6bf-42c07e10b612,0,0,0,0,0,0,0,0,0,1,0
009e4a71-e189-4c9b-be9f-b9b166bb83c6,1,0,0,0,0,0,0,0,0,0,0
00a2796d-f862-4fe1-846b-c3e0761294a2,0,0,0,0,0,0,0,0,0,1,0
00b7548a-8c67-450c-80a1-1d91d7c2f939,0,0,0,0,0,0,0,0,0,1,0
00bb0c85-b371-4ffd-a98b-012b488eac86,0,0,0,0,0,0,0,0,0,0,1
00bed2a6-8bd3-429a-8190-caed58cf3388,1,0,0,0,0,0,0,0,0,0,0
00cad534-0fca-42fe-a24a-4eda8d0e0fc0,0,0,0,0,0,0,0,0,1,0,0
00d1ed0c-78fc-4104-a984-abfaba5c864f,0,0,0,0,0,0,0,0,0,0,1
00d4f18c-90f1-4cec-aef5-5e79e9443e06,0,0,0,0,0,0,0,0,1,0,0
00e23fdc-934a-4319-a6b1-3bd181294a56,0,0,0,0,0,0,0,0,0,1,0
00e88467-f509-40bf-9cdd-c1a2a27d1a5c,0,0,0,0,0,0,0,0,0,1,0
00e97952-975a-4cd7-b33c-5d6a0f05678f,0,0,0,0,0,0,0,0,0,0,1
00ea7d37-dfc7-4fdc-9101-cab0f4cb3c3e,0,0,0,1,0,0,0,0,0,0,0
00ff0d81-5583-4aec-9e22-ccd929e79804,0,0,0,0,0,0,1,0,1,0,0
0107b463-bbea-493d-a341-c19331e8b093,1,0,0,0,0,0,0,0,0,0,0
010e233c-c9d9-471c-a6ac-ebc1c5bd78a7,0,0,0,0,1,0,0,0,0,0,0
01154d1a-4fae-4c2a-a749-6fd55252d627,0,0,0,0,1,0,0,0,0,0,0
0116c581-a65b-4165-9e04-5f26ad93c934,0,0,0,0,0,0,1,0,0,0,0
0119d416-3c24-4f1a-a39d-cbbe72a0ecc1,1,0,0,1,0,0,0,0,1,0,0
011e3c36-e960-4908-964e-6fc8be49381d,0,0,0,0,0,0,0,0,0,0,1
011e51e3-640a-439e-8254-3a1de0cdb925,0,0,0,1,1,0,0,0,0,0,0
012c8594-7ce3-4991-ae02-0e21a10ea83f,0,0,0,0,0,0,0,0,0,1,0
012e849b-a084-4427-8135-3883263c1a05,0,0,0,0,0,0,0,0,0,0,1
012fd615-aab8-4e37-81bd-4c6af0f41d18,0,0,0,0,0,0,0,0,0,1,0
0130d1d3-e1d7-47cd-88d8-d8c2ed594d74,1,0,0,0,0,0,0,0,0,0,0
01353ea3-fa65-4f7b-bb36-f5e595a8ae58,0,0,0,0,0,0,0,0,0,0,1
013c5c50-529d-4be7-9872-7fea9ab88417,0,0,0,0,0,0,0,0,0,1,0
014159e8-daee-4fc1-a6ae-a6608b696ed5,1,0,0,0,0,0,0,0,0,1,0
0147add4-7fc7-411b-8c83-7fba999fb3ec,0,0,0,0,1,0,0,0,1,0,0
014c5348-ff08-4198-8a07-be17679e76d6,0,0,0,1,0,0,0,0,0,0,0
01510731-d6e2-4cc1-9b5d-6f144e301a39,1,0,0,0,0,0,0,0,0,0,0
015e868f-8459-4cd8-99a3-e4d55a79e581,0,1,0,0,0,0,0,0,0,0,0
016b2acb-6851-4234-84f3-4eae932c5496,0,0,0,0,0,0,0,0,0,0,1
01795852-cbdb-48ab-a8b9-1c39fe05c790,0,0,0,0,1,0,0,0,0,0,0
017c4c1c-e426-4854-b57b-9f19cff79ea8,0,0,0,0,0,0,0,0,0,1,0
017cf68e-78b6-4e7f-b5aa-ce2fe93b52b7,0,0,0,0,1,0,0,0,0,0,0
017f5f8b-f3b4-4fe1-82e3-f071f1c3789f,0,0,0,0,0,1,0,0,0,0,0
0186902e-0d48-40ab-97ad-2a717825c9a7,0,0,0,0,1,0,0,0,0,0,0
0188d4b3-8393-4626-8e90-fc8bef38741f,0,0,0,0,1,0,0,0,0,0,0
018a073a-d8cd-41dc-bbdd-2baeecd4eeb7,0,0,0,0,0,0,0,0,1,0,0
018f14e8-5249-4711-bad8-4f4559d9c0dd,1,0,0,0,0,0,0,0,0,0,0
018fa4b0-1945-4e0c-8539-bd29eca15b55,0,0,0,0,0,0,0,0,0,0,1
019ae6f2-a651-4eb2-9c45-a6e1abf8071d,1,0,0,0,0,0,0,0,0,0,0
01a030f9-7d94-42af-939b-d1a3e4171ef9,0,0,0,0,0,0,0,0,0,0,1
01b0b82b-0c83-4b35-9e28-0330185f4832,0,0,0,0,0,0,0,0,1,0,0
01b328f0-d0ef-4d27-b0a8-3e3c98b4b8cc,0,0,0,0,1,0,0,0,0,0,0
01cd98aa-5e0d-4751-b4ca-d8ba2b364e05,0,0,0,0,0,0,1,0,0,0,0
01e441c1-7348-4b97-b339-b3c61b2a1c11,1,0,0,0,0,0,0,0,0,1,0
01e6eb85-f97c-46e1-8648-daaddd958fe3,0,0,0,0,0,1,1,0,0,1,0
01ea2dd3-6517-484e-8532-da99239c815e,0,0,0,0,0,0,0,0,0,0,1
01f258ad-74be-410f-a8c5-7141ed793915,0,0,0,0,0,0,0,0,0,1,0
01fd4aec-e56b-4930-9794-38acf8e1853a,0,0,0,0,1,0,0,0,0,0,0
02035bb9-689d-4e0c-8661-6917330bd721,0,1,0,0,1,0,0,0,0,0,0
0203ace5-12a5-4ca7-b8c1-461b8bf9fcbd,0,0,0,0,1,0,0,0,0,0,0
02115e45-7e16-4a77-91ee-dd8f55a6b749,0,0,0,0,0,0,0,0,0,1,0
021d5fae-8d22-4d10-b8cb-9cc5ece3f63a,0,0,0,0,0,1,1,1,1,0,0
0234f9b6-ac04-44a7-8ac0-c62104cc88ae,0,0,0,0,1,0,0,0,0,0,0
023808be-07f4-4c58-8193-b04ac05b443e,1,0,0,0,0,0,0,0,0,0,0
023dc1a9-79f8-4228-8240-7e0524355af5,0,0,0,0,0,0,0,0,0,0,1
023dc7e8-59f9-4340-81a2-3cc95bea6e19,0,0,0,0,1,0,0,0,0,1,0
023e45a2-0fd2-4f75-aaa5-185e34b437c0,0,0,0,0,1,0,0,0,0,0,0
0241fe97-a971-41b5-8305-563cf9b6adf3,0,0,0,0,1,0,0,0,0,0,0
0242c848-4d2d-4a4f-8f7f-51707b050bd5,1,0,0,0,0,0,0,0,0,0,0
0252d1ae-e62e-40ec-b0d2-a446724b3071,0,0,0,0,0,1,0,0,0,1,0
02552ae8-6610-4a8b-bfe9-714938c59103,0,0,0,0,0,0,0,0,0,1,0
0258ec2d-407d-42a0-a368-cc83c4f75d5d,0,0,0,0,0,0,0,0,1,0,0
025ce41b-e644-40b6-b4f8-f257e33bcbf9,0,0,0,0,1,0,0,0,0,0,0
026328ab-2e2a-4688-86da-1c4827fbfcc6,0,0,0,0,1,0,0,0,0,0,0
026fef49-f684-4d65-9f4e-1769e551f0ee,0,0,0,0,1,0,0,0,0,0,0
0270a95a-333d-47f2-b56a-618aec18707d,0,0,0,0,0,0,0,0,0,1,0
02714b1c-6ebe-47d7-aa75-756cd63b4b68,0,0,0,0,0,1,0,0,0,0,0
0279fe9e-94ee-4964-b6fd-d54dd3ae90a0,0,0,0,0,0,0,0,0,1,0,0
027f95e4-c225-4042-b992-c7def20cf6c2,0,0,0,0,0,0,0,0,0,1,0
02843e58-f55a-4b76-b9e3-794cbc0a1280,0,0,0,0,1,0,0,0,0,0,0
028c05f6-d507-4529-a147-2310a802f461,0,0,0,0,1,0,0,0,0,0,0
